CD_TOKEN_PED;LATITUDE;LONGITUDE;ID_POSTO;NOME_FANTASIA;CIDADE
365140918;-23.5652032;-46.4841793;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
582052158;-23.5651843;-46.4842062;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
931769136;-3.758878231;-38.6319809;1305065;Posto Rodrigo Ltda;Caucaia
107236739;-3.758919477;-38.63200378;1305065;Posto Rodrigo Ltda;Caucaia
381003200;-3.758919716;-38.63200378;1305065;Posto Rodrigo Ltda;Caucaia
170217639;-23.56524658;-46.48427582;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
802269759;-23.54076767;-46.55091858;78392;Posto De Servicos Lins Ltda;Sao Paulo
181720444;-3.758930206;-38.63195801;1305065;Posto Rodrigo Ltda;Caucaia
941272679;-23.5651843;-46.4842062;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
143169774;-23.54077721;-46.55083847;78392;Posto De Servicos Lins Ltda;Sao Paulo
990222424;-23.5651908;-46.4842142;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
603125554;-23.5652126;-46.4842069;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
959208667;-23.5651843;-46.484204;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
838522637;-23.5652295;-46.4842353;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
157648454;-23.5652295;-46.4842353;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
366723078;-23.5651908;-46.4842142;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
362810277;-23.5652002;-46.4842954;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
127966680;-23.5652193;-46.4842457;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
619618480;-23.5651843;-46.484204;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
580215403;-23.5651843;-46.484204;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
719786802;-23.56524849;-46.484272;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
240337146;-23.5651843;-46.4842062;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
716480268;-23.5652126;-46.4842069;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
618472493;-23.5652126;-46.4842069;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
212425882;-23.56525421;-46.48426437;1342751;Posto De Servicos Jardim Brasilia Ltda;Sao Paulo
890866993;-3.719188213;-38.53259277;1328264;Leonardo Lima E Cia Ltda - Epp;Fortaleza
801511054;-3.719179153;-38.53258514;1328264;Leonardo Lima E Cia Ltda - Epp;Fortaleza
703055728;-3.719196558;-38.5326004;1328264;Leonardo Lima E Cia Ltda - Epp;Fortaleza
225406036;-3.719188452;-38.53260803;1328264;Leonardo Lima E Cia Ltda - Epp;Fortaleza
977923277;-3.758725405;-38.63191986;1305065;Posto Rodrigo Ltda;Caucaia
341794969;-23.9627275;-46.3320076;1305356;Posto Gaivota Ltda;Santos
915286395;-3.758716822;-38.63192749;1305065;Posto Rodrigo Ltda;Caucaia
826611996;-3.758739233;-38.63196182;1305065;Posto Rodrigo Ltda;Caucaia
967033121;-3.758800745;-38.63180923;1305065;Posto Rodrigo Ltda;Caucaia
341751401;-3.758742571;-38.63184738;1305065;Posto Rodrigo Ltda;Caucaia
225350174;-3.758723259;-38.63194275;1305065;Posto Rodrigo Ltda;Caucaia
777620404;-3.758805275;-38.63250732;1305065;Posto Rodrigo Ltda;Caucaia
245565008;-3.758718729;-38.63193512;1305065;Posto Rodrigo Ltda;Caucaia
792950731;-3.719201326;-38.53261948;1328264;Leonardo Lima E Cia Ltda - Epp;Fortaleza
218638462;-3.758725643;-38.63192749;1305065;Posto Rodrigo Ltda;Caucaia
142725080;-3.719198704;-38.53263855;1328264;Leonardo Lima E Cia Ltda - Epp;Fortaleza
629330947;-3.71916604;-38.53253555;1328264;Leonardo Lima E Cia Ltda - Epp;Fortaleza
302251432;-23.9627275;-46.3320076;1305356;Posto Gaivota Ltda;Santos
656034837;-3.758880854;-38.63204193;1305065;Posto Rodrigo Ltda;Caucaia
227948099;-22.9484352;-47.0283954;80596;A P Nova Era Universal Ltda;Campinas
857569341;-3.758936644;-38.6320076;1305065;Posto Rodrigo Ltda;Caucaia
422620951;-3.758919716;-38.6320076;1305065;Posto Rodrigo Ltda;Caucaia
359444843;-3.758928776;-38.63199997;1305065;Posto Rodrigo Ltda;Caucaia
671100612;-3.76857543;-38.62317276;1339881;Posto Cristal Com Combs E Lubs Ltda;Caucaia
115111430;-3.758919001;-38.63199997;1305065;Posto Rodrigo Ltda;Caucaia
838135142;-3.758911371;-38.63203812;1305065;Posto Rodrigo Ltda;Caucaia
743547281;-3.768597603;-38.62299728;1339881;Posto Cristal Com Combs E Lubs Ltda;Caucaia
398706911;-18.91615105;-48.31357956;1337522;Posto Tropical Ltda;Uberlandia
364975988;-18.91627884;-48.31354523;1337522;Posto Tropical Ltda;Uberlandia
713621112;-19.8430734;-43.9138148;1295791;Comercial Dias Vieira Ltda;Belo Horizonte
738336364;-19.8514253;-43.9337306;1345970;Posto Mario Werneck Limitada - Me;Belo Horizonte
728382263;-18.88194466;-48.26889801;101439;A P Penna & Braga Ltda;Uberlandia
278516235;-18.88209915;-48.26885223;101439;A P Penna & Braga Ltda;Uberlandia
465207908;-18.89185905;-48.25567627;1305091;Kmp Comercio De Petroleo Ltda;Uberlandia
943434631;-18.91632271;-48.31356049;1337522;Posto Tropical Ltda;Uberlandia
504858357;-3.7334033;-38.483601;1343203;Padre Pio Comercio De Combustiveis Ltda;Fortaleza
586812289;-3.7420572;-38.6095899;69727;Comercial Joao Ferreira Petroleo Ltda;Caucaia
730994576;-3.74187541;-38.60978699;69727;Comercial Joao Ferreira Petroleo Ltda;Caucaia
302435663;-18.90530586;-48.26613235;1371625;Posto Brasilia Ltda - Epp;Uberlandia
217378318;-18.89183235;-48.25566483;1305091;Kmp Comercio De Petroleo Ltda;Uberlandia
498990596;-20.44880295;-54.57624817;1337318;Posto Caranda Locatelli Ltda;Campo Grande
771923974;-28.2825984;-52.7827204;1366596;Abastecedora De Combustiveis Bedu Ltda.;Carazinho
207496952;-3.741763115;-38.60976028;69727;Comercial Joao Ferreira Petroleo Ltda;Caucaia
488837736;-3.719019651;-38.56653595;1305421;Coml Recamonde Der De Petr Ltda;Fortaleza
805236977;-23.5346041;-46.9039176;71879;A P Kalymar Ltda;Jandira
801489856;-23.8846388;-46.4216514;1305338;Auto Posto Mathias Ltda;Cubatao
838745506;-3.7120642;-38.5662996;1304295;Leste Oeste Petroleo Ltda;Fortaleza
